1,18.004,0.671880756,0.241087589,0.671880756,0.671880756,0.4,-0.64,0.4,0.4,0.56,7
2,48.004,0.109451252,0.241087589,0.890548748,0.890548748,-1.17,-0.64,1.17,1.17,0.53,2
3,79.996,0.241087589,0.241087589,0.890548748,0.758912411,-0.64,-0.64,1.17,0.64,0.53,2
4,111.987,0.758912411,0.109451252,0.671880756,0.671880756,0.64,-1.17,0.4,0.4,0.27,7
5,141.989,0.109451252,0.758912411,0.758912411,0.671880756,-1.17,0.64,0.64,0.4,0.51,7
6,177.995,0.241087589,0.109451252,0.241087589,0.109451252,-0.64,-1.17,-0.64,-1.17,-3.62,2
7,207.996,0.758912411,0.241087589,0.241087589,0.241087589,0.64,-0.64,-0.64,-0.64,-1.28,2
8,240.004,0.241087589,0.109451252,0.328119244,0.328119244,-0.64,-1.17,-0.4,-0.4,-2.61,2
9,271.996,0.328119244,0.241087589,0.758912411,0.890548748,-0.4,-0.64,0.64,1.17,0.77,7
10,308.003,0.890548748,0.890548748,0.671880756,0.890548748,1.17,1.17,0.4,1.17,3.91,7
11,339.996,0.890548748,0.758912411,0.890548748,0.758912411,1.17,0.64,1.17,0.64,3.62,7
12,369.997,0.328119244,0.671880756,0.890548748,0.671880756,-0.4,0.4,1.17,0.4,1.57,7
13,402.004,0.671880756,0.241087589,0.328119244,0.109451252,0.4,-0.64,-0.4,-1.17,-1.81,2
14,438.011,0.671880756,0.328119244,0.328119244,0.241087589,0.4,-0.4,-0.4,-0.64,-1.04,2
15,468.012,0.671880756,0.109451252,0.758912411,0.758912411,0.4,-1.17,0.64,0.64,0.51,7
16,504.003,0.890548748,0.328119244,0.109451252,0.109451252,1.17,-0.4,-1.17,-1.17,-1.57,2
17,539.993,0.328119244,0.109451252,0.328119244,0.328119244,-0.4,-1.17,-0.4,-0.4,-2.37,2
18,569.994,0.758912411,0.890548748,0.241087589,0.109451252,0.64,1.17,-0.64,-1.17,0,7
